epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1058.58,1.56053,2.06171,1.38868,0.34257,0.40316,0.33382,0.17545,1.5635,2.21909,1.44478,0.000659933,0.000659933,0.000659933
2,2066.07,1.54523,1.67839,1.38701,0.49547,0.47418,0.44391,0.2304,1.76785,1.96717,1.63713,0.00126093,0.00126093,0.00126093
3,3167.45,1.57276,1.55958,1.39837,0.41357,0.37733,0.34159,0.16836,1.74659,2.13648,1.56518,0.00179593,0.00179593,0.00179593
4,4198.37,1.55146,1.47259,1.37834,0.57249,0.48801,0.52525,0.29295,1.59645,1.67326,1.45574,0.001703,0.001703,0.001703
5,5249.6,1.50424,1.40111,1.36071,0.6377,0.55595,0.60525,0.34448,1.49135,1.53473,1.36379,0.001604,0.001604,0.001604
6,6281.2,1.4646,1.34782,1.33343,0.6842,0.57818,0.63852,0.36511,1.47511,1.5394,1.3817,0.001505,0.001505,0.001505
7,7286.94,1.44796,1.31078,1.32523,0.63536,0.57122,0.61902,0.37468,1.4071,1.36057,1.35485,0.001406,0.001406,0.001406
8,8467.69,1.41767,1.23809,1.2867,0.70621,0.56098,0.64993,0.3877,1.44362,1.29899,1.3636,0.001307,0.001307,0.001307
9,9485.6,1.39615,1.21995,1.2762,0.72211,0.59091,0.67017,0.403,1.39812,1.62654,1.32716,0.001208,0.001208,0.001208
10,10492.5,1.36732,1.18593,1.27306,0.72034,0.62482,0.70292,0.41797,1.38404,1.2447,1.29792,0.001109,0.001109,0.001109
11,11480.7,1.35929,1.18712,1.27682,0.72498,0.59566,0.68531,0.40912,1.37744,1.35815,1.31996,0.00101,0.00101,0.00101
12,12455.7,1.32615,1.12153,1.26734,0.66869,0.63056,0.68702,0.41569,1.39438,1.19565,1.31082,0.000911,0.000911,0.000911
13,13446.9,1.30364,1.08822,1.24434,0.70153,0.61119,0.68714,0.42327,1.33988,1.17597,1.27801,0.000812,0.000812,0.000812
14,14428.9,1.28231,1.04605,1.23231,0.74682,0.62626,0.71738,0.45372,1.32258,1.106,1.24642,0.000713,0.000713,0.000713
15,15447.6,1.25024,1.00822,1.21726,0.73937,0.64917,0.72905,0.45976,1.29212,1.08659,1.24416,0.000614,0.000614,0.000614
16,16420.3,1.23399,0.96536,1.20127,0.75361,0.64069,0.73287,0.47428,1.2608,1.05777,1.22657,0.000515,0.000515,0.000515
17,17392.5,1.21717,0.96489,1.18426,0.73445,0.66356,0.74583,0.47957,1.25187,1.0518,1.22131,0.000416,0.000416,0.000416
18,18359.3,1.17911,0.91652,1.16864,0.76009,0.65925,0.75799,0.49201,1.24219,1.02048,1.2119,0.000317,0.000317,0.000317
19,19337.9,1.15423,0.88302,1.15713,0.75761,0.6592,0.75982,0.49923,1.2261,0.98371,1.2037,0.000218,0.000218,0.000218
20,20325.1,1.13585,0.85843,1.14547,0.7847,0.65624,0.77009,0.50649,1.20583,0.96704,1.1826,0.000119,0.000119,0.000119
